event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,height-above-msl,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1701934245,true,2009-06-30 11:15:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934246,true,2009-06-30 12:45:00.000,8.998683,47.765117,,"Baum Nr. 3",415.1376,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934247,true,2009-06-30 15:00:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934248,true,2009-07-01 08:22:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934249,true,2009-07-01 08:25:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934250,true,2009-07-01 08:45:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934251,true,2009-07-01 09:50:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934252,true,2009-07-01 15:22:00.000,8.998033,47.765317,,"Blumenwiese/Bienenweide",416.9664,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934253,true,2009-07-02 07:00:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934254,true,2009-07-02 08:37:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934255,true,2009-07-02 09:22:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934256,true,2009-07-02 10:40:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934257,true,2009-07-02 12:00:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934258,true,2009-07-04 09:30:00.000,9.028608,47.774981,,"Liggeringen (ID ?? last of 3)",,"Airplane","radio-transmitter","Animalia","002","002","Space use of bumblebees (data from Hagen et al. 2011)"
1701934296,true,2009-07-02 10:00:00.000,9.004767,47.764167,,"Fangort von (Garten-)Hummel 003",406.908,"GPS","radio-transmitter","Animalia","003","003","Space use of bumblebees (data from Hagen et al. 2011)"
1701934297,true,2009-07-02 10:15:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","003","003","Space use of bumblebees (data from Hagen et al. 2011)"
1701934298,true,2009-07-02 10:16:00.000,8.997533,47.765067,,"Busch, wahrscheinlich Holunder",410.2608,"GPS","radio-transmitter","Animalia","003","003","Space use of bumblebees (data from Hagen et al. 2011)"
1701934299,true,2009-07-02 10:45:00.000,8.997533,47.765067,,"Busch, wahrscheinlich Holunder",410.2608,"GPS","radio-transmitter","Animalia","003","003","Space use of bumblebees (data from Hagen et al. 2011)"
1701934300,true,2009-07-02 16:00:00.000,9.000861,47.768533,,"Friedhof Moeggingen",,"Airplane","radio-transmitter","Animalia","003","003","Space use of bumblebees (data from Hagen et al. 2011)"
1701934301,true,2009-07-04 09:30:00.000,9.022936,47.760628,,"272 (Duerrenhof)",,"Airplane","radio-transmitter","Animalia","003","003","Space use of bumblebees (data from Hagen et al. 2011)"
1701934302,true,2009-07-02 10:55:00.000,8.997817,47.765283,,"Rittersporn bei Muehle",409.956,"GPS","radio-transmitter","Animalia","004","004","Space use of bumblebees (data from Hagen et al. 2011)"
1701934303,true,2009-07-02 10:55:00.000,8.997733,47.7652,,"Beet bei Muehle: 004 in Rittersporn",406.908,"GPS","radio-transmitter","Animalia","004","004","Space use of bumblebees (data from Hagen et al. 2011)"
1701934304,true,2009-07-02 11:00:00.000,8.998217,47.7654,,"Blumenwiese/Bienenweide bei Muehle/MPI",420.9288,"GPS","radio-transmitter","Animalia","004","004","Space use of bumblebees (data from Hagen et al. 2011)"
1701934305,true,2009-07-02 11:15:00.000,8.997683,47.765167,,"Busch an der Ecke, bei Muehle",408.432,"GPS","radio-transmitter","Animalia","004","004","Space use of bumblebees (data from Hagen et al. 2011)"
1701934306,true,2009-07-02 12:45:00.000,8.998183,47.76465,,"Kleewiese",446.532,"GPS","radio-transmitter","Animalia","004","004","Space use of bumblebees (data from Hagen et al. 2011)"
1701934307,true,2009-07-02 12:46:00.000,8.99825,47.764917,,"Kleewiese",411.1752,"GPS","radio-transmitter","Animalia","004","004","Space use of bumblebees (data from Hagen et al. 2011)"
